Device information
Type,5167A40
Name,LabAmp
Description,Quasi static charge amplifier
Serial Number,5847862
Software Version,5167AX-V1.3.1-0-g23d531c
Hardware Version,550502XXXXXX01XX01

Sampling Rate,1000 Hz

Sensor 1
Name,FX
Serial Number,not-set
Type,Charge
Sensitivity,19.75 pC/N
Range,10 N
Time Constant,Long
Signal Mode,Live

Sensor 2
Name,Fy
Serial Number,not-set
Type,Charge
Sensitivity,22.0491 pC/N
Range,10 N
Time Constant,Long
Signal Mode,Live

Sensor 3
Name,Fz
Serial Number,not-set
Type,Charge
Sensitivity,11.06 pC/N
Range,3000 N
Time Constant,Long
Signal Mode,Live

Time,FX [N],Fy [N],Fz [N],
0.000000000,-0.012839,-0.043836,-0.006539
0.001000000,0.008065,-0.032458,-0.026158
0.002000000,-0.007891,-0.027858,-0.013079
0.003000000,-0.012534,-0.027618,-0.026158
0.004000000,0.017482,-0.03224,-0.052316
0.005000000,-0.003924,-0.052556,-0.045776
0.006000000,-0.022387,-0.047237,-0.019618
0.007000000,0.010616,-0.046452,-0.006539
0.008000000,0.020251,-0.031324,-0.039237
0.009000000,-0.013253,-0.029319,-0.026158
0.010000000,-0.007629,-0.034158,-0.013079
0.011000000,0.015586,-0.038016,-0.013079
0.012000000,0.002768,-0.040327,-0.039237
0.013000000,-0.003117,-0.036403,-0.006539
0.014000000,-0.001112,-0.040065,-0.032697
0.015000000,-0.005406,-0.038627,-0.032697
0.016000000,0.001221,-0.043444,-0.045776
0.017000000,0.011836,-0.036665,-0.026158
0.018000000,-0.005907,-0.034899,0
0.019000000,-0.014169,-0.027248,-0.013079
0.020000000,0.004229,-0.038452,-0.006539
0.021000000,0.00848,-0.042289,-0.019618
0.022000000,-0.008327,-0.035379,-0.026158
0.023000000,-0.005253,-0.032828,-0.019618
0.024000000,0.007673,-0.026921,-0.006539
0.025000000,0.000545,-0.037297,-0.045776
0.026000000,-0.003008,-0.041853,-0.013079
0.027000000,0.013624,-0.056218,-0.019618
0.028000000,0.003095,-0.048719,-0.019618
0.029000000,-0.017133,-0.042441,-0.026158
0.030000000,0.009046,-0.039019,-0.039237
0.031000000,0.022975,-0.036229,-0.006539
0.032000000,-0.003902,-0.044534,0
0.033000000,-0.017896,-0.047368,-0.019618
0.034000000,0.0143,-0.052294,-0.039237
0.035000000,0.000828,-0.04752,-0.026158
0.036000000,-0.022474,-0.037973,-0.006539
0.037000000,0.006888,-0.036338,-0.019618
0.038000000,0.014714,-0.035662,-0.013079
0.039000000,-0.016632,-0.038343,-0.013079
0.040000000,-0.017875,-0.043444,-0.013079
0.041000000,0.021864,-0.050071,-0.006539
0.042000000,0.001003,-0.044207,-0.013079
0.043000000,-0.023717,-0.035684,-0.032697
0.044000000,0.015782,-0.036556,-0.019618
0.045000000,0.023368,-0.035618,-0.071934
0.046000000,-0.020752,-0.047934,-0.045776
0.047000000,-0.001613,-0.057024,-0.032697
0.048000000,0.023673,-0.045013,-0.045776
0.049000000,-0.008698,-0.043291,-0.045776
0.050000000,-0.010354,-0.034507,-0.013079
0.051000000,0.019313,-0.036839,-0.019618
0.052000000,0.004948,-0.04085,-0.039237
0.053000000,-0.019335,-0.041133,0
0.054000000,0.004817,-0.040196,-0.058855
0.055000000,0.00909,-0.034659,-0.039237
0.056000000,-0.009635,-0.040479,-0.078474
0.057000000,-0.001439,-0.033766,-0.019618
0.058000000,-0.001569,-0.031498,-0.032697
0.059000000,-0.005341,-0.02764,-0.013079
0.060000000,0.013668,-0.030932,-0.026158
0.061000000,0.002834,-0.039804,-0.013079
0.062000000,-0.02049,-0.038234,-0.026158
0.063000000,0.009853,-0.036904,-0.026158
0.064000000,0.018354,-0.027117,-0.013079
0.065000000,-0.012469,-0.027989,-0.026158
0.066000000,-0.005711,-0.034964,-0.019618
0.067000000,0.02206,-0.039324,-0.032697
0.068000000,-0.002812,-0.046278,0
0.069000000,-0.023738,-0.039498,-0.006539
0.070000000,0.016501,-0.033875,-0.013079
0.071000000,0.008981,-0.034812,-0.032697
0.072000000,-0.018986,-0.035182,-0.013079
0.073000000,-0.003444,-0.037798,-0.019618
0.074000000,0.01576,-0.044403,-0.013079
0.075000000,-0.008262,-0.044185,-0.045776
0.076000000,-0.02339,-0.037646,-0.039237
0.077000000,0.006539,-0.034986,-0.013079
0.078000000,0.014648,-0.033199,-0.052316
0.079000000,-0.008371,-0.034812,-0.045776
0.080000000,-0.014103,-0.046866,-0.032697
0.081000000,0.004948,-0.040937,-0.026158
0.082000000,0.016741,-0.053885,-0.052316
0.083000000,-0.004839,-0.034354,-0.032697
0.084000000,-0.010027,-0.040872,-0.039237
0.085000000,0.018136,-0.038539,-0.032697
0.086000000,0.005755,-0.046278,-0.039237
0.087000000,-0.00691,-0.062147,-0.013079
0.088000000,0.005995,-0.056523,-0.013079
0.089000000,0.010725,-0.055433,-0.045776
0.090000000,-0.003379,-0.04521,-0.032697
0.091000000,-0.006866,-0.044556,0
0.092000000,0.005537,-0.049373,-0.039237
0.093000000,0.002267,-0.05515,-0.045776
0.094000000,0.005559,-0.056981,-0.026158
0.095000000,-0.000392,-0.050071,-0.058855
0.096000000,-0.006888,-0.04364,-0.058855
0.097000000,0.008981,-0.050528,-0.065395
0.098000000,0.005668,-0.054387,-0.058855
0.099000000,-0.011575,-0.060883,-0.071934
0.100000000,0.005777,-0.053711,-0.039237
0.101000000,0.02352,-0.050703,-0.052316
0.102000000,-0.005559,-0.050419,-0.058855
0.103000000,-0.016523,-0.051727,-0.045776
0.104000000,0.020338,-0.0577,-0.052316
